Date,Date,NAV,Quote
2014-01-01,2014-01,17.649999618530273,DXS7.DE
2014-02-01,2014-02,20.100000381469727,DXS7.DE
2014-03-01,2014-03,20.229999542236328,DXS7.DE
2014-04-01,2014-04,20.969999313354492,DXS7.DE
2014-05-01,2014-05,19.739999771118164,DXS7.DE
2014-06-01,2014-06,20.280000686645508,DXS7.DE
2014-07-01,2014-07,19.829999923706055,DXS7.DE
2014-08-01,2014-08,20.8799991607666,DXS7.DE
2014-09-01,2014-09,23.440000534057617,DXS7.DE
2014-10-01,2014-10,23.440000534057617,DXS7.DE
2014-11-01,2014-11,23.8700008392334,DXS7.DE
2014-12-01,2014-12,22.5,DXS7.DE
2015-01-01,2015-01,22.43000030517578,DXS7.DE
2015-02-01,2015-02,22.600000381469727,DXS7.DE
2015-03-01,2015-03,24.049999237060547,DXS7.DE
2015-04-01,2015-04,22.059999465942383,DXS7.DE
2015-05-01,2015-05,22.030000686645508,DXS7.DE
2015-06-01,2015-06,22.3700008392334,DXS7.DE
2015-07-01,2015-07,23.600000381469727,DXS7.DE
2015-08-01,2015-08,24.059999465942383,DXS7.DE
2015-09-01,2015-09,20.6200008392334,DXS7.DE
2015-10-01,2015-10,20.670000076293945,DXS7.DE
2015-11-01,2015-11,21.6299991607666,DXS7.DE
2015-12-01,2015-12,21.0,DXS7.DE
2016-01-01,2016-01,20.770000457763672,DXS7.DE
2016-02-01,2016-02,19.510000228881836,DXS7.DE
2016-03-01,2016-03,20.209999084472656,DXS7.DE
2016-04-01,2016-04,19.079999923706055,DXS7.DE
2016-05-01,2016-05,20.290000915527344,DXS7.DE
2016-06-01,2016-06,21.0,DXS7.DE
2016-07-01,2016-07,21.420000076293945,DXS7.DE
2016-08-01,2016-08,21.979999542236328,DXS7.DE
2016-09-01,2016-09,21.90999984741211,DXS7.DE
2016-10-01,2016-10,24.666900634765625,DXS7.DE
2016-11-01,2016-11,21.979999542236328,DXS7.DE
2016-12-01,2016-12,21.399999618530273,DXS7.DE
2017-01-01,2017-01,20.940000534057617,DXS7.DE
2017-02-01,2017-02,21.020000457763672,DXS7.DE
2017-03-01,2017-03,21.959999084472656,DXS7.DE
2017-04-01,2017-04,22.90999984741211,DXS7.DE
2017-05-01,2017-05,21.799999237060547,DXS7.DE
2017-06-01,2017-06,21.3799991607666,DXS7.DE
2017-07-01,2017-07,21.290000915527344,DXS7.DE
2017-08-01,2017-08,20.489999771118164,DXS7.DE
2017-09-01,2017-09,21.020000457763672,DXS7.DE
2017-10-01,2017-10,21.639999389648438,DXS7.DE
2017-11-01,2017-11,23.190000534057617,DXS7.DE
2017-12-01,2017-12,25.450000762939453,DXS7.DE
2018-01-01,2018-01,27.3799991607666,DXS7.DE
2018-02-01,2018-02,30.1200008392334,DXS7.DE
2018-03-01,2018-03,30.40999984741211,DXS7.DE
2018-04-01,2018-04,31.3799991607666,DXS7.DE
2018-05-01,2018-05,29.274999618530273,DXS7.DE
2018-06-01,2018-06,28.075000762939453,DXS7.DE
2018-07-01,2018-07,27.125,DXS7.DE
2018-08-01,2018-08,27.344999313354492,DXS7.DE
2018-09-01,2018-09,27.795000076293945,DXS7.DE
2018-10-01,2018-10,28.709999084472656,DXS7.DE
2018-11-01,2018-11,26.0,DXS7.DE
2018-12-01,2018-12,27.299999237060547,DXS7.DE
2019-01-01,2019-01,25.604999542236328,DXS7.DE
2019-02-01,2019-02,26.184999465942383,DXS7.DE
2019-03-01,2019-03,29.295000076293945,DXS7.DE
2019-04-01,2019-04,29.225000381469727,DXS7.DE
2019-05-01,2019-05,29.024999618530273,DXS7.DE
2019-06-01,2019-06,28.190000534057617,DXS7.DE
2019-07-01,2019-07,27.469999313354492,DXS7.DE
2019-08-01,2019-08,29.104999542236328,DXS7.DE
2019-09-01,2019-09,28.809999465942383,DXS7.DE
2019-10-01,2019-10,29.399999618530273,DXS7.DE
2019-11-01,2019-11,29.145000457763672,DXS7.DE
2019-12-01,2019-12,28.094999313354492,DXS7.DE
2020-01-01,2020-01,26.96500015258789,DXS7.DE
2020-02-01,2020-02,25.684999465942383,DXS7.DE
2020-03-01,2020-03,24.469999313354492,DXS7.DE
2020-04-01,2020-04,19.642000198364258,DXS7.DE
2020-05-01,2020-05,22.635000228881836,DXS7.DE
2020-06-01,2020-06,24.90999984741211,DXS7.DE
2020-07-01,2020-07,24.094999313354492,DXS7.DE
2020-08-01,2020-08,22.639999389648438,DXS7.DE
2020-09-01,2020-09,23.625,DXS7.DE
2020-10-01,2020-10,24.600000381469727,DXS7.DE
2020-11-01,2020-11,26.19499969482422,DXS7.DE
2020-12-01,2020-12,27.4950008392334,DXS7.DE
2021-01-01,2021-01,28.665000915527344,DXS7.DE
2021-02-01,2021-02,28.385000228881836,DXS7.DE
2021-03-01,2021-03,31.704999923706055,DXS7.DE
2021-04-01,2021-04,32.65999984741211,DXS7.DE
2021-05-01,2021-05,33.19499969482422,DXS7.DE
2021-06-01,2021-06,35.099998474121094,DXS7.DE
2021-07-01,2021-07,38.29999923706055,DXS7.DE
2021-08-01,2021-08,36.72999954223633,DXS7.DE
2021-09-01,2021-09,36.94499969482422,DXS7.DE
2021-10-01,2021-10,37.625,DXS7.DE
2021-11-01,2021-11,40.244998931884766,DXS7.DE
2021-12-01,2021-12,41.78499984741211,DXS7.DE
2022-01-01,2022-01,41.46500015258789,DXS7.DE
2022-02-01,2022-02,40.064998626708984,DXS7.DE
2022-03-01,2022-03,39.73500061035156,DXS7.DE
2022-04-01,2022-04,39.79499816894531,DXS7.DE
2022-05-01,2022-05,37.47999954223633,DXS7.DE
2022-06-01,2022-06,34.564998626708984,DXS7.DE
2022-07-01,2022-07,32.77000045776367,DXS7.DE
2022-08-01,2022-08,32.994998931884766,DXS7.DE
2022-09-01,2022-09,34.810001373291016,DXS7.DE
2022-10-01,2022-10,30.5,DXS7.DE
2022-11-01,2022-11,26.06999969482422,DXS7.DE
2022-12-01,2022-12,22.459999084472656,DXS7.DE
